,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,1354,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:00:00Z,1,delta,delta_blocks,14462467,xmev-capture,14462467
,,1355,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:10:00Z,1,delta,delta_blocks,14462246,xmev-capture,14462245
,,1356,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:40:00Z,1,delta,delta_blocks,14462106,xmev-capture,14462106
,,1357,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:30:00Z,2,delta,delta_blocks,14460998,xmev-capture,14460998
,,1358,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:20:00Z,1,delta,delta_blocks,14461515,xmev-capture,14461514
,,1359,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:50:00Z,1,delta,delta_blocks,14461094,xmev-capture,14461093
,,1360,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:50:00Z,2,delta,delta_blocks,14462698,xmev-capture,14462697
,,1361,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:40:00Z,2,delta,delta_blocks,14462363,xmev-capture,14462363
,,1362,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:50:00Z,0,delta,delta_blocks,14462179,xmev-capture,14462178
,,1363,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,0,delta,delta_blocks,14460900,xmev-capture,14460900
,,1364,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:00:00Z,2,delta,delta_blocks,14462466,xmev-capture,14462466
,,1365,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:10:00Z,0,delta,delta_blocks,14461187,xmev-capture,14461187
,,1366,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:30:00Z,2,delta,delta_blocks,14462050,xmev-capture,14462050
