,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,566,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:59:00Z,-21,delta,delta_block_time,xmev-capture,1648461483594
,,567,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:38:00Z,-37,delta,delta_block_time,xmev-capture,1648460274729
,,568,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:09:00Z,-14,delta,delta_block_time,xmev-capture,1648462088037
,,569,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:25:00Z,12,delta,delta_block_time,xmev-capture,1648459498212
,,570,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:35:00Z,-20,delta,delta_block_time,xmev-capture,1648456476027
,,571,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:26:00Z,-23,delta,delta_block_time,xmev-capture,1648459522218
,,572,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:03:00Z,31,delta,delta_block_time,xmev-capture,1648461759842
,,573,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:45:00Z,-34,delta,delta_block_time,xmev-capture,1648457052438
,,574,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:52:00Z,-12,delta,delta_block_time,xmev-capture,1648461079327
,,575,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:40:00Z,-11,delta,delta_block_time,xmev-capture,1648460350798
,,576,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:12:00Z,11,delta,delta_block_time,xmev-capture,1648458669659
,,577,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:26:00Z,-37,delta,delta_block_time,xmev-capture,1648455903608
,,578,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:42:00Z,-25,delta,delta_block_time,xmev-capture,1648460490888
,,579,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:17:00Z,17,delta,delta_block_time,xmev-capture,1648458985858
,,580,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:14:00Z,-15,delta,delta_block_time,xmev-capture,1648462384231
,,581,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:02:00Z,-20,delta,delta_block_time,xmev-capture,1648454466582
,,582,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:36:00Z,-22,delta,delta_block_time,xmev-capture,1648452901475
,,583,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:48:00Z,-46,delta,delta_block_time,xmev-capture,1648457276588
,,584,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:09:00Z,-19,delta,delta_block_time,xmev-capture,1648454914894
,,585,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:17:00Z,-24,delta,delta_block_time,xmev-capture,1648455395243
,,586,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:00:00Z,-32,delta,delta_block_time,xmev-capture,1648457949080
,,587,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:04:00Z,-45,delta,delta_block_time,xmev-capture,1648454630680
,,588,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:07:00Z,-22,delta,delta_block_time,xmev-capture,1648454818797
,,589,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:12:00Z,-11,delta,delta_block_time,xmev-capture,1648455083005
