,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,89,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:58:00Z,8,lag,polygon_lag,xmev-capture,1648454270469
,,90,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:41:00Z,2,lag,polygon_lag,xmev-capture,1648453229691
,,91,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:02:00Z,4,lag,polygon_lag,xmev-capture,1648454510639
,,92,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:30:00Z,9,lag,polygon_lag,xmev-capture,1648456183849
,,93,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:40:00Z,9,lag,polygon_lag,xmev-capture,1648456744262
,,94,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:18:00Z,5,lag,polygon_lag,xmev-capture,1648455463314
,,95,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:54:00Z,8,lag,polygon_lag,xmev-capture,1648454010279
,,96,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:51:00Z,14,lag,ethereum_lag,xmev-capture,1648453802090
,,97,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:23:00Z,3,lag,polygon_lag,xmev-capture,1648455735514
,,98,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:01:00Z,9,lag,polygon_lag,xmev-capture,1648458013173
,,99,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:06:00Z,5,lag,polygon_lag,xmev-capture,1648454730781
,,100,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:20:00Z,4,lag,polygon_lag,xmev-capture,1648455567387
,,101,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:10:00Z,7,lag,polygon_lag,xmev-capture,1648458577633
,,102,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:09:00Z,10,lag,ethereum_lag,xmev-capture,1648458489508
,,103,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:15:00Z,10,lag,polygon_lag,xmev-capture,1648458893782
,,104,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:11:00Z,7,lag,polygon_lag,xmev-capture,1648455047005
,,105,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:37:00Z,4,lag,polygon_lag,xmev-capture,1648452981508
,,106,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:07:00Z,6,lag,polygon_lag,xmev-capture,1648454774843
,,107,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:55:00Z,10,lag,polygon_lag,xmev-capture,1648454090330
,,108,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:04:00Z,15.5,lag,ethereum_lag,xmev-capture,1648454582693
,,109,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:28:00Z,7,lag,polygon_lag,xmev-capture,1648456059760
,,110,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:22:00Z,8,lag,polygon_lag,xmev-capture,1648459266068
,,111,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:36:00Z,6,lag,polygon_lag,xmev-capture,1648456500152
,,112,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:47:00Z,6,lag,ethereum_lag,xmev-capture,1648453561955
,,113,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:47:00Z,5,lag,polygon_lag,xmev-capture,1648453613971
,,114,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:11:00Z,7,lag,polygon_lag,xmev-capture,1648455059015
,,115,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:05:00Z,7,lag,polygon_lag,xmev-capture,1648454642753
,,116,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:50:00Z,3,lag,polygon_lag,xmev-capture,1648453770096
,,117,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:41:00Z,11,lag,ethereum_lag,xmev-capture,1648460422877
,,118,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:21:00Z,44,lag,ethereum_lag,xmev-capture,1648455659429
,,119,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:41:00Z,2,lag,polygon_lag,xmev-capture,1648453213671
,,120,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:49:00Z,4,lag,polygon_lag,xmev-capture,1648457316652
,,121,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:45:00Z,17,lag,ethereum_lag,xmev-capture,1648457052438
,,122,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:24:00Z,6,lag,polygon_lag,xmev-capture,1648455783537
,,123,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:27:00Z,6,lag,polygon_lag,xmev-capture,1648455983715
,,124,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:13:00Z,9,lag,ethereum_lag,xmev-capture,1648455139047
,,125,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:17:00Z,7,lag,polygon_lag,xmev-capture,1648455399256
,,126,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:26:00Z,8,lag,polygon_lag,xmev-capture,1648459530335
,,127,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:36:00Z,7,lag,polygon_lag,xmev-capture,1648460146662
,,128,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:49:00Z,5,lag,ethereum_lag,xmev-capture,1648453718042
,,129,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:38:00Z,7,lag,polygon_lag,xmev-capture,1648453069576
,,130,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:32:00Z,3,lag,polygon_lag,xmev-capture,1648456315936
,,131,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:15:00Z,5,lag,polygon_lag,xmev-capture,1648455291183
,,132,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:30:00Z,7,lag,polygon_lag,xmev-capture,1648456171853
,,133,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:33:00Z,6,lag,ethereum_lag,xmev-capture,1648459938507
,,134,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:21:00Z,7,lag,polygon_lag,xmev-capture,1648459258036
,,135,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:43:00Z,1,lag,polygon_lag,xmev-capture,1648453377806
,,136,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:37:00Z,11,lag,polygon_lag,xmev-capture,1648456576137
,,137,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:46:00Z,4,lag,polygon_lag,xmev-capture,1648460707061
,,138,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:21:00Z,4,lag,polygon_lag,xmev-capture,1648455639447
,,139,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:23:00Z,8,lag,polygon_lag,xmev-capture,1648459378138
,,140,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:04:00Z,6,lag,polygon_lag,xmev-capture,1648458229324
,,141,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:52:00Z,11,lag,ethereum_lag,xmev-capture,1648461083371
,,142,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:18:00Z,6,lag,polygon_lag,xmev-capture,1648455431353
,,143,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:03:00Z,8,lag,polygon_lag,xmev-capture,1648458145271
,,144,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:48:00Z,3,lag,polygon_lag,xmev-capture,1648457220566
,,145,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:50:00Z,6,lag,polygon_lag,xmev-capture,1648457348681
,,146,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:10:00Z,16,lag,ethereum_lag,xmev-capture,1648458577539
,,147,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:22:00Z,9,lag,polygon_lag,xmev-capture,1648455667461
,,148,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:57:00Z,8,lag,polygon_lag,xmev-capture,1648454194396
,,149,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:33:00Z,7,lag,polygon_lag,xmev-capture,1648456335954
,,150,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:00:00Z,14,lag,ethereum_lag,xmev-capture,1648457945094
