_start;_stop;_time;_value;_field;_measurement;eth_block;host;pol_block
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:02:00Z;0;delta;delta_blocks;14461977;xmev-capture;14461976
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:08:00Z;3;delta;delta_blocks;14461200;xmev-capture;14461200
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:42:00Z;0;delta;delta_blocks;14460572;xmev-capture;14460571
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:42:00Z;1;delta;delta_blocks;14460829;xmev-capture;14460828
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:02:00Z;2;delta;delta_blocks;14460922;xmev-capture;14460922
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:08:00Z;1;delta;delta_blocks;14461203;xmev-capture;14461202
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:34:00Z;3;delta;delta_blocks;14460788;xmev-capture;14460788
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:32:00Z;2;delta;delta_blocks;14460785;xmev-capture;14460785
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:52:00Z;2;delta;delta_blocks;14461135;xmev-capture;14461135
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:12:00Z;1;delta;delta_blocks;14460694;xmev-capture;14460693
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:14:00Z;1;delta;delta_blocks;14460708;xmev-capture;14460707
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:50:00Z;0;delta;delta_blocks;14461391;xmev-capture;14461390
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:48:00Z;1;delta;delta_blocks;14460600;xmev-capture;14460599
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:38:00Z;1;delta;delta_blocks;14461346;xmev-capture;14461345
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:00:00Z;0;delta;delta_blocks;14460910;xmev-capture;14460910
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:40:00Z;1;delta;delta_blocks;14461868;xmev-capture;14461868
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:04:00Z;1;delta;delta_blocks;14461179;xmev-capture;14461179
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:46:00Z;1;delta;delta_blocks;14460596;xmev-capture;14460596
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:54:00Z;1;delta;delta_blocks;14460620;xmev-capture;14460619
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:54:00Z;1;delta;delta_blocks;14460618;xmev-capture;14460617
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:48:00Z;0;delta;delta_blocks;14460598;xmev-capture;14460596
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:40:00Z;1;delta;delta_blocks;14461355;xmev-capture;14461354
