,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,504,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:20:00Z,4006,delta,delta_block_time,14461778,xmev-capture,14461777
,,505,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:50:00Z,64045,delta,delta_block_time,14461645,xmev-capture,14461644
,,506,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:40:00Z,8002,delta,delta_block_time,14460817,xmev-capture,14460816
,,507,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:00:00Z,7991,delta,delta_block_time,14460648,xmev-capture,14460646
,,508,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:10:00Z,3,delta,delta_block_time,14461745,xmev-capture,14461745
,,509,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:50:00Z,8010,delta,delta_block_time,14461385,xmev-capture,14461384
,,510,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:30:00Z,20007,delta,delta_block_time,14462616,xmev-capture,14462615
,,511,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:10:00Z,1,delta,delta_block_time,14461744,xmev-capture,14461744
,,512,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:50:00Z,8014,delta,delta_block_time,14460818,xmev-capture,14460817
,,513,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:40:00Z,1,delta,delta_block_time,14462382,xmev-capture,14462382
,,514,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:40:00Z,12009,delta,delta_block_time,14460808,xmev-capture,14460807
,,515,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:40:00Z,3986,delta,delta_block_time,14462957,xmev-capture,14462956
,,516,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:30:00Z,3,delta,delta_block_time,14461288,xmev-capture,14461288
,,517,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:00:00Z,8003,delta,delta_block_time,14461940,xmev-capture,14461939
,,518,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:10:00Z,1,delta,delta_block_time,14461468,xmev-capture,14461468
,,519,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:50:00Z,7996,delta,delta_block_time,14460827,xmev-capture,14460826
,,520,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:10:00Z,39998,delta,delta_block_time,14461972,xmev-capture,14461970
,,521,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T07:40:00Z,2,delta,delta_block_time,14460551,xmev-capture,14460551
,,522,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:40:00Z,12014,delta,delta_block_time,14460812,xmev-capture,14460811
,,523,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:20:00Z,11987,delta,delta_block_time,14460987,xmev-capture,14460986
